Šifra NKS;Puno ime NKS;Naziv NKS
I.4.1.3.;I.4.1.3. Ekstenzivne košanice na poljoprivrednim površinama;Ekstenzivne košanice na poljoprivrednim površinama
I.4.1.3.1.;I.4.1.3.1. Suhe ekstenzivne košanice na poljoprivrednim površinama;Suhe ekstenzivne košanice na poljoprivrednim površinama
I.4.1.3.2.;I.4.1.3.2. Vlažne ekstenzivne košanice na poljoprivrednim površinama;Vlažne ekstenzivne košanice na poljoprivrednim površinama
I.4.1.4.;I.4.1.4. Ekstenzivni pašnjaci na poljoprivrednim površinama;Ekstenzivni pašnjaci na poljoprivrednim površinama
I.4.1.4.1.;I.4.1.4.1. Suhi ekstenzivni pašnjaci na poljoprivrednim površinama;Suhi ekstenzivni pašnjaci na poljoprivrednim površinama
I.4.1.4.2.;I.4.1.4.2. Vlažni ekstenzivni pašnjaci na poljoprivrednim površinama;Vlažni ekstenzivni pašnjaci na poljoprivrednim površinama
I.4.2.;I.4.2. Višegodišnje kulture ljekovitog i aromatičnog bilja;Višegodišnje kulture ljekovitog i aromatičnog bilja
I.4.2.1.;I.4.2.1. Višegodišnje kulture ljekovitog i aromatičnog bilja;Višegodišnje kulture ljekovitog i aromatičnog bilja
I.4.3.;I.4.3. Kultura hmelja;Kultura hmelja
I.4.3.1.;I.4.3.1. Kultura hmelja;Kultura hmelja
I.5.;I.5. Voćnjaci, vinogradi i maslinici;Voćnjaci, vinogradi i maslinici
I.5.1.;I.5.1. Voćnjaci;Voćnjaci
I.5.1.1.;I.5.1.1. Tradicionalni visoki voćnjaci u užem smislu;Tradicionalni visoki voćnjaci u užem smislu
I.5.1.1.1.;I.5.1.1.1. Tradicionalni šljivici;Tradicionalni šljivici
I.5.1.1.2.;I.5.1.1.2. Ostali tradicionalni monodominantni voćnjaci;Ostali tradicionalni monodominantni voćnjaci
I.5.1.1.3.;I.5.1.1.3. Mješoviti tradicionalni voćnjaci;Mješoviti tradicionalni voćnjaci
I.5.1.2.;I.5.1.2. Intenzivni visoki voćnjaci u užem smislu;Intenzivni visoki voćnjaci u užem smislu
I.5.1.3.;I.5.1.3. Ostali visoki voćnjaci;Ostali visoki voćnjaci
I.5.1.4.;I.5.1.4. Nasadi grmolikog voća;Nasadi grmolikog voća
I.5.2.;I.5.2. Maslinici;Maslinici
I.5.2.1.;I.5.2.1. Tradicionalni maslinici;Tradicionalni maslinici
I.5.2.1.1.;I.5.2.1.1. Tradicionalni maslinici;Tradicionalni maslinici
I.5.2.2.;I.5.2.2. Intezivni maslinici;Intezivni maslinici
I.5.2.2.1.;I.5.2.2.1. Intenzivni maslinici;Intenzivni maslinici
I.5.3.;I.5.3. Vinogradi;Vinogradi
I.5.3.1.;I.5.3.1. Tradicionalni vinogradi;Tradicionalni vinogradi
I.5.3.1.1.;I.5.3.1.1. Tradicionalni vinogradi;Tradicionalni vinogradi
I.5.3.2.;I.5.3.2. Intenzivni vinogradi;Intenzivni vinogradi
I.5.3.2.1.;I.5.3.2.1. Intenzivni vinogradi;Intenzivni vinogradi
I.6.;I.6. Proizvodni vrtovi i rasadnici;Proizvodni vrtovi i rasadnici
I.6.1.;I.6.1. Povrtnjaci;Povrtnjaci
I.6.1.1.;I.6.1.1. Povrtnjaci u sklopu seoskih okućnica;Povrtnjaci u sklopu seoskih okućnica
I.6.1.2.;I.6.1.2. Povrtnjaci u sklopu gradskih okućnica;Povrtnjaci u sklopu gradskih okućnica
I.6.1.3.;I.6.1.3. Povrtnjaci na gradskim i prigradskim slobodnim površinama;Povrtnjaci na gradskim i prigradskim slobodnim površinama
I.6.1.4.;I.6.1.4. Povrtnjaci izvan naseljenih mjesta;Povrtnjaci izvan naseljenih mjesta
I.6.2.;I.6.2. Kulture cvijeća;Kulture cvijeća
I.6.2.1.;I.6.2.1. Kulture cvijeća;Kulture cvijeća
I.6.2.1.1.;I.6.2.1.1. Kulture jednogodišnjih vrsta cvijeća;Kulture jednogodišnjih vrsta cvijeća
I.6.2.1.2.;I.6.2.1.2. Kulture višegodišnjih vrsta cvijeća;Kulture višegodišnjih vrsta cvijeća
I.6.3.;I.6.3. Rasadnici zeljastog bilja;Rasadnici zeljastog bilja
I.6.3.1.;I.6.3.1. Rasadnici zeljastog bilja;Rasadnici zeljastog bilja
I.6.3.1.1.;I.6.3.1.1. Rasadnici za povrtlarsku proizvodnju;Rasadnici za povrtlarsku proizvodnju
I.6.3.1.2.;I.6.3.1.2. Hortikulturni rasadnici zeljastog bilja;Hortikulturni rasadnici zeljastog bilja
I.6.4.;I.6.4. Rasadnici drvenastog bilja;Rasadnici drvenastog bilja
I.6.4.1.;I.6.4.1. Rasadnici drvenastog bilja;Rasadnici drvenastog bilja
I.6.4.1.1.;I.6.4.1.1. Rasadnici voćaka;Rasadnici voćaka
I.6.4.1.2.;I.6.4.1.2. Hortikulturni rasadnici drvenastog bilja;Hortikulturni rasadnici drvenastog bilja
I.6.4.1.3.;I.6.4.1.3. Šumski rasadnici;Šumski rasadnici
