Šifra NKS;Puno ime NKS;Naziv NKS
J.4.2.3.8.;J.4.2.3.8. Ostala odlagališta sirovina i međuproizvoda;Ostala odlagališta sirovina i međuproizvoda
J.4.3.;J.4.3. Površinski kopovi;Površinski kopovi
J.4.3.1.;J.4.3.1. Aktivni površinski kopovi;Aktivni površinski kopovi
J.4.3.1.1.;J.4.3.1.1. Kamenolomi;Kamenolomi
J.4.3.1.2.;J.4.3.1.2. Pješčare;Pješčare
J.4.3.1.3.;J.4.3.1.3. Šljunčare;Šljunčare
J.4.3.1.4.;J.4.3.1.4. Kopovi gline, kaolina i ilovače;Kopovi gline, kaolina i ilovače
J.4.3.1.5.;J.4.3.1.5. Kopovi lapora;Kopovi lapora
J.4.3.1.6.;J.4.3.1.6. Površinski rudnici;Površinski rudnici
J.4.3.1.7.;J.4.3.1.7. Površinski kopovi boksita;Površinski kopovi boksita
J.4.3.1.8.;J.4.3.1.8. Crpilišta nafte i plina;Crpilišta nafte i plina
J.4.3.2.;J.4.3.2. Napušteni površinski kopovi (nesanirani);Napušteni površinski kopovi (nesanirani)
J.4.3.2.1.;J.4.3.2.1. Napušteni površinski kopovi (nesanirani);Napušteni površinski kopovi (nesanirani)
J.4.4.;J.4.4. Infrastrukturne površine;Infrastrukturne površine
J.4.4.1.;J.4.4.1. Površine za pružni promet;Površine za pružni promet
J.4.4.2.;J.4.4.2. Površine za cestovni promet;Površine za cestovni promet
J.4.4.3.;J.4.4.3. Aerodromi;Aerodromi
J.4.4.4.;J.4.4.4. Lučke površine;Lučke površine
J.4.4.5.;J.4.4.5. Ostale infrastrukturne površine;Ostale infrastrukturne površine
J.4.5.;J.4.5. Uzgajališta životinja;Uzgajališta životinja
J.4.5.1.;J.4.5.1. Farme goveda;Farme goveda
J.4.5.2.;J.4.5.2. Farme konja;Farme konja
J.4.5.3.;J.4.5.3. Farme svinja;Farme svinja
J.4.5.4.;J.4.5.4. Farme sitne stoke;Farme sitne stoke
J.4.5.5.;J.4.5.5. Farme peradi;Farme peradi
J.4.5.6.;J.4.5.6. Farme nojeva;Farme nojeva
J.4.5.7.;J.4.5.7. Zoološki vrtovi;Zoološki vrtovi
J.5.;J.5. Umjetna vodena staništa bez poluprirodnih zajednica biljaka i životinja;Umjetna vodena staništa bez poluprirodnih zajednica biljaka i životinja
J.5.1.;J.5.1. Umjetna slana i bočata staništa;Umjetna slana i bočata staništa
J.5.1.1.;J.5.1.1. Umjetne slane i bočate stajaćice;Umjetne slane i bočate stajaćice
J.5.1.1.1.;J.5.1.1.1. Slane i bočate industrijske lagune i kanali;Slane i bočate industrijske lagune i kanali
J.5.1.1.2.;J.5.1.1.2. Solane;Solane
J.5.1.2.;J.5.1.2. Umjetne slane i bočate tekućice;Umjetne slane i bočate tekućice
J.5.2.;J.5.2. Umjetna slatkovodna staništa;Umjetna slatkovodna staništa
J.5.2.1.;J.5.2.1. Umjetne slatkovodne stajaćice;Umjetne slatkovodne stajaćice
J.5.2.2.;J.5.2.2. Umjetne slatkovodne tekućice;Umjetne slatkovodne tekućice
K.;K. Kompleksi staništa;Kompleksi staništa
K.1.;K.1. Estuariji;Estuariji
K.2.;K.2. Obalne lagune;Obalne lagune
K.3.;K.3. Velike plitke uvale i zaljevi;Velike plitke uvale i zaljevi
